INFO - run_mri.py - 2025-02-10 13:11:52,814 - Starting training process 0
INFO - run_mri.py - 2025-02-10 13:11:52,816 - Config: data:
  dataset: MRI
  eval: /home/cidar/Desktop/MRI_superres_registration/data/Registration_slices/test/
  image_size1: 720
  image_size2: 512
  num_channels: 1
  train: /home/cidar/Desktop/MRI_superres_registration/data/Registration_slices/train/
device: !!python/object/apply:torch.device
- cuda
- 0
global_rank: 0
local_rank: 0
model:
  ema_rate: 0.999
  kernel_size: 9
  name: Kernel
  scaling_factors:
  - 0.5
  - 0.5
optim:
  beta1: 0.9
  eps: 1.0e-08
  grad_clip: 1.0
  lr: 0.0002
  optimizer: Adam
  warmup: 5000
  weight_decay: 0
seed: 42
training:
  batch_size: 4
  combined_loss: false
  epochs: 100
  eval_freq: 100
  lambda_sum: 0.01
  log_freq: 25
  loss: mse
  save_every: 10
  snapshot: true
  snapshot_freq_for_preemption: 500

INFO - run_mri.py - 2025-02-10 13:11:53,453 - Starting training loop at step 7600.
INFO - run_mri.py - 2025-02-10 13:13:13,093 - step: 400, eval_loss: 8.59882e-04
INFO - run_mri.py - 2025-02-10 13:13:13,550 - step: 425, training_loss: 1.30662e-03
INFO - run_mri.py - 2025-02-10 13:13:14,000 - step: 450, training_loss: 1.68771e-03
INFO - run_mri.py - 2025-02-10 13:13:14,460 - step: 475, training_loss: 1.77271e-03
INFO - run_mri.py - 2025-02-10 13:13:14,914 - step: 500, training_loss: 2.96347e-03
INFO - run_mri.py - 2025-02-10 13:13:14,939 - step: 500, eval_loss: 2.50907e-03
INFO - run_mri.py - 2025-02-10 13:13:15,418 - step: 525, training_loss: 1.73503e-03
INFO - run_mri.py - 2025-02-10 13:13:15,904 - step: 550, training_loss: 1.59648e-03
INFO - run_mri.py - 2025-02-10 13:13:16,608 - step: 25, training_loss: 1.92083e-03
INFO - run_mri.py - 2025-02-10 13:13:17,064 - step: 50, training_loss: 3.97491e-03
INFO - run_mri.py - 2025-02-10 13:13:17,518 - step: 75, training_loss: 1.55302e-03
INFO - run_mri.py - 2025-02-10 13:13:17,973 - step: 100, training_loss: 3.52234e-03
INFO - run_mri.py - 2025-02-10 13:13:17,984 - step: 100, eval_loss: 4.74563e-03
INFO - run_mri.py - 2025-02-10 13:13:18,432 - step: 125, training_loss: 1.71245e-03
INFO - run_mri.py - 2025-02-10 13:13:18,891 - step: 150, training_loss: 2.55564e-03
INFO - run_mri.py - 2025-02-10 13:13:19,345 - step: 175, training_loss: 2.57080e-03
INFO - run_mri.py - 2025-02-10 13:13:19,795 - step: 200, training_loss: 1.35614e-03
INFO - run_mri.py - 2025-02-10 13:13:19,814 - step: 200, eval_loss: 6.09478e-03
INFO - run_mri.py - 2025-02-10 13:13:20,270 - step: 225, training_loss: 1.60535e-03
INFO - run_mri.py - 2025-02-10 13:13:20,723 - step: 250, training_loss: 1.39355e-03
INFO - run_mri.py - 2025-02-10 13:13:21,176 - step: 275, training_loss: 3.71943e-03
INFO - run_mri.py - 2025-02-10 13:13:21,627 - step: 300, training_loss: 2.30188e-03
INFO - run_mri.py - 2025-02-10 13:13:21,640 - step: 300, eval_loss: 8.57816e-04
INFO - run_mri.py - 2025-02-10 13:13:22,103 - step: 325, training_loss: 1.82058e-03
INFO - run_mri.py - 2025-02-10 13:13:22,569 - step: 350, training_loss: 2.00982e-03
INFO - run_mri.py - 2025-02-10 13:13:23,027 - step: 375, training_loss: 2.72993e-03
INFO - run_mri.py - 2025-02-10 13:13:23,489 - step: 400, training_loss: 2.21221e-03
INFO - run_mri.py - 2025-02-10 13:13:23,502 - step: 400, eval_loss: 3.59286e-03
INFO - run_mri.py - 2025-02-10 13:13:23,964 - step: 425, training_loss: 1.30832e-03
INFO - run_mri.py - 2025-02-10 13:13:24,432 - step: 450, training_loss: 1.68917e-03
INFO - run_mri.py - 2025-02-10 13:13:24,916 - step: 475, training_loss: 1.77122e-03
INFO - run_mri.py - 2025-02-10 13:13:25,381 - step: 500, training_loss: 2.96273e-03
INFO - run_mri.py - 2025-02-10 13:13:25,402 - step: 500, eval_loss: 1.98132e-03
INFO - run_mri.py - 2025-02-10 13:13:25,864 - step: 525, training_loss: 1.72851e-03
INFO - run_mri.py - 2025-02-10 13:13:26,335 - step: 550, training_loss: 1.58342e-03
INFO - run_mri.py - 2025-02-10 13:13:27,067 - step: 25, training_loss: 1.92302e-03
INFO - run_mri.py - 2025-02-10 13:13:27,560 - step: 50, training_loss: 3.99334e-03
INFO - run_mri.py - 2025-02-10 13:13:28,025 - step: 75, training_loss: 1.55624e-03
INFO - run_mri.py - 2025-02-10 13:13:28,503 - step: 100, training_loss: 3.51535e-03
INFO - run_mri.py - 2025-02-10 13:13:28,525 - step: 100, eval_loss: 2.97317e-03
INFO - run_mri.py - 2025-02-10 13:13:28,991 - step: 125, training_loss: 1.71128e-03
INFO - run_mri.py - 2025-02-10 13:13:29,460 - step: 150, training_loss: 2.55588e-03
INFO - run_mri.py - 2025-02-10 13:13:29,914 - step: 175, training_loss: 2.56901e-03
INFO - run_mri.py - 2025-02-10 13:13:30,376 - step: 200, training_loss: 1.36997e-03
INFO - run_mri.py - 2025-02-10 13:13:30,396 - step: 200, eval_loss: 1.27965e-03
INFO - run_mri.py - 2025-02-10 13:13:30,850 - step: 225, training_loss: 1.60756e-03
INFO - run_mri.py - 2025-02-10 13:13:31,315 - step: 250, training_loss: 1.38679e-03
INFO - run_mri.py - 2025-02-10 13:13:31,777 - step: 275, training_loss: 3.72016e-03
INFO - run_mri.py - 2025-02-10 13:13:32,252 - step: 300, training_loss: 2.31033e-03
INFO - run_mri.py - 2025-02-10 13:13:32,264 - step: 300, eval_loss: 3.05654e-03
INFO - run_mri.py - 2025-02-10 13:13:32,727 - step: 325, training_loss: 1.80849e-03
INFO - run_mri.py - 2025-02-10 13:13:33,187 - step: 350, training_loss: 1.96743e-03
INFO - run_mri.py - 2025-02-10 13:13:33,648 - step: 375, training_loss: 2.73957e-03
INFO - run_mri.py - 2025-02-10 13:13:34,098 - step: 400, training_loss: 2.20957e-03
INFO - run_mri.py - 2025-02-10 13:13:34,114 - step: 400, eval_loss: 2.78303e-03
INFO - run_mri.py - 2025-02-10 13:13:34,568 - step: 425, training_loss: 1.30979e-03
INFO - run_mri.py - 2025-02-10 13:13:35,018 - step: 450, training_loss: 1.69051e-03
INFO - run_mri.py - 2025-02-10 13:13:35,489 - step: 475, training_loss: 1.77019e-03
INFO - run_mri.py - 2025-02-10 13:13:35,938 - step: 500, training_loss: 2.96168e-03
INFO - run_mri.py - 2025-02-10 13:13:35,960 - step: 500, eval_loss: 1.27022e-03
INFO - run_mri.py - 2025-02-10 13:13:36,413 - step: 525, training_loss: 1.72195e-03
INFO - run_mri.py - 2025-02-10 13:13:36,871 - step: 550, training_loss: 1.57183e-03
INFO - run_mri.py - 2025-02-10 13:13:37,569 - step: 25, training_loss: 1.92553e-03
INFO - run_mri.py - 2025-02-10 13:13:38,022 - step: 50, training_loss: 4.00937e-03
INFO - run_mri.py - 2025-02-10 13:13:38,476 - step: 75, training_loss: 1.55932e-03
INFO - run_mri.py - 2025-02-10 13:13:38,925 - step: 100, training_loss: 3.50810e-03
INFO - run_mri.py - 2025-02-10 13:13:38,936 - step: 100, eval_loss: 1.08007e-03
